ない,外,1.7999999999999998
お湯,家族,0.4
値段,母,1
一つ,文句,1
うるさい,多い,1
グループ,常備,2
ない,選択肢,0.4
場所,観光,1.4
希望,申し分,0.4
価格,贅沢,1
サービス,シンプル,0.4
ビジネスホテル,快適,1.7999999999999998
ディズニー,綺麗,0.4
大浴場,普通,1.7999999999999998
料金,私たち,0.4
浴槽,設備,1
スタイル,皆さん,0.4
スタッフ,値段,2.5999999999999996
気軽,笑顔,0.4
隣,音,3.4000000000000004
いい,備え付け,1
ない,理解,1
予約,店,0.8
コストパフォーマンス,温かい,0.4
バス,椅子,0.4
建物,悪い,0.4
シングルルーム,チェックイン,0.4
プレゼント,大阪,0.4
エレベーター,設備,2
いい,店,0.4
広い,確か,1
コース,飲み物,1
つくり,夜間,0.4
人,机,1
多い,関係,1
古い,小さい,0.4
欲しい,混雑,0.4
外,風呂,2.4
大浴場,衣類,1
クラス,コート,0.4
アメニティ,タオル,3
料理,次,1
オープン,予約,1.4
多い,子連れ,0.4
感想,話し声,0.4
仲居,素敵,0.4
料金,満足,5.800000000000001
便利,綺麗,2.5999999999999996
古い,綺麗,0.4
スムーズ,ツイン,0.4
オートロック,コーヒー,0.4
ありがたい,浴槽,1
キッチン,モール,0.4
シングル,嬉しい,0.4
母,風呂,2
壁,料金,1.4
次,駐車場,0.8
設備,風呂,7.2
入り口,席,1
遠い,長い,2
いくら,匂い,1
売店,親切,1
お勧め,ロビー,0.4
シャワー,宿泊客,0.4
コストパフォーマンス,プラン,1.4
タクシー,チェックアウト,0.4
ベッド,枕,4
シャワー,便利,0.8
夜中,遅い,2
考慮,話し声,0.4
サービス,トータル,1.4
土地,駐車場,0.4
朝食,魅力,1.8
値段,周辺,1.4
交換,失礼,1
旅館,機会,0.4
うるさい,ツイン,0.4
一つ,洗面,2.8000000000000007
ベッド,強い,1.4
予約,金額,1.4
利用者,清潔,0.8
バスタオル,美味しい,0.4
おいしい,設置,0.4
なかった,納得,1.4
チェックイン,丁寧,5.4
お湯,設備,1
使い勝手,非常,0.4
すごい,不安,0.4
中心,対応,1
温泉街,狭い,0.4
ビジネス,内装,0.8
タワー,急,1.4
タイプ,ユニットバス,1.4
エレベーター,風呂,1.4
頭,駐車,0.4
二つ,薄い,0.4
目,顔,1
対応,楽しい,0.8
ネット,飲み物,1
ラウンジ,安心,0.4
バイキング,手頃,1.4
入浴剤,行動,0.4
ツイン,階,1
キレイ,魅力,0.4
トイレ,宿,0.4
ビジネスホテル,設備,0.4
うるさい,非常,1
m,別,2
理解,電話,1
事,喫煙,1.4
チェックイン,解決,1.4
会員,看板,0.4
大丈夫,確か,1
デザート,見た目,1
些細なこと,注意,0.4
カップル,プラン,0.8
ビジネスホテル,ファミリー,1
ビジネスホテル,貸し切り,0.4
ボリューム,風呂,0.8
アパホテル,割高感,0.4
地デジ,快適,1.4
便利,出張,2.4
イベント,大変,0.8
価格,得,4
楽しみ,目的,1
快適,水圧,1
改善,駐車場,0.4
トイレ,予約,1.4
印象,立地,2.8
スーパー,駅,0.4
希望,必要,1
匂い,用意,0.4
ドア,共同,2
ご飯,味噌汁,1.4
ショップ,温泉,0.4
ドライヤー,朝食,1.2
ー,貸出,1.4
SPA!,バイキング,0.4
壁,悪い,1
一泊,仕事,1
グループ,使用,0.4
男性,食事,0.4
にくい,快適,0.4
お値打ち,雰囲気,0.4
きれい,正直,1
ウェア,気持ちよい,0.4
ルーム,変更,0.8
おかず,スタッフ,1
プラン,得,4
ビジネスホテル,入浴剤,0.4
よい,フロア,0.4
悪い,自分,4
不安,送迎,1
お世話になりました,鍵,0.4
よい,チェックアウト,2.2
安心,楽天,0.4
便利,荷物,0.4
噂,宿,1
常備,感じ,2.4000000000000004
息子,無料,0.4
両親,心地よい,1.4
テーブル,ラウンジ,0.4
ほしい,パソコン,0.8
なかった,無愛想,1.4
大浴場,温泉,5.200000000000001
ヨーグルト,楽しみ,0.4
おかげ,移動,1
便利,笑顔,0.8
思い,注意,0.4
スイッチ,風呂,0.4
人,希望,1
入浴,札,1
案内,飲食店,1
レストラン,名古屋,0.4
スタッフ,細かい,0.4
仕事,楽天,0.8
新しい,次,1.4
かなり,大変,0.4
多い,飲食店,3
お願い,安い,3.8000000000000007
満足,若い,0.4
おいしい,カップル,0.4
ワイン,説明,1
仕方がない,価格,1
清潔,非常,1.4
ビックリ,快適,0.4
御社,状況,1.4
価格,楽天,0.4
ティッシュ,臭い,2
綺麗,話,0.4
ナイト,金額,0.4
サービス,駐車場,3.2
入り口,案内,1
トイレ,騒音,0.4
一泊,口コミ,0.8
ない,よい,6.400000000000003
よい,非常,5.400000000000001
記載,近い,0.4
気持ちよい,車,0.8
チェックイン,行動,2.4000000000000004
バイキング,割引,1
ビール,ポイント,1
気遣い,雨,0.4
ただ,温泉,1.4
他,施設,2.1999999999999997
小さい,悪い,1.4
お正月,和風,1
福井,駅,0.4
床,浴衣,0.8
朝風呂,残念,2
ドア,清潔,0.8
きつい,ルーム,1
バイキング,変更,2.4000000000000004
大変,目,1
情報,状況,0.4
水,都合,1
ない,入浴,2
たま,立地,1
パジャマ,不満,0.4
声,立地,3.8000000000000007
使用,笑顔,1
オープン,申し分,0.4
ナイト,楽天,1
いいもの,シャンプー,0.4
内容,問い合わせ,1.4
テーブル,テーブル,1
不便,大変,2.8000000000000003
楽しい,美味しい,0.8
ない,バター,1
徒歩,空港,1
必要,自由,0.4
水圧,飲食店,0.4
満足,眺め,1.2
シャンプー,嫌,1
おいしい,サービス,1.9999999999999998
エントランス,負担,1
お世話,対応,1.4
づらい,気軽,1
ラーメン,嫌,1
全員,温泉,0.4
楽しみ,浴衣,1
お客様,大変,1.2
割高感,残念,0.4
おすすめ,フロント,1
すごい,男女,0.4
タブ,ルーム,2
ルートイン,大浴場,1
安心,最高,1
ツイン,何度も,0.4
不可,自分,0.4
常備,検討,1
お勧め,意味,0.4
なかった,スペース,1.7999999999999998
お願い,声,1
優しい,少ない,0.4
半額,料理,1
端,買い物,2.4000000000000004
小さい,気分転換,1
名,食事,1
お客,大変,2.4
コンビニ,綺麗,1.5999999999999999
バイキング,団体,1
ビジネス,遠い,0.8
無理,臭い,1
満足,煮物,1.4
雰囲気,静か,1.4
次,温泉,0.4
気分,高い,0.8
大変,浴槽,2.4
残念,遅い,3
期待,期待,1.4
仲居,宿,1
改善,改善,1
全館,欲しい,1
ロープウェイ,夕食,0.8
おかげさま,プラン,0.4
リーズナブル,食事,1.4
立地,間,0.4
ロフト,料金,0.4
構造,間,1
独立,限定,1
備品,短い,0.4
換気,温度,1
内容,折角,0.4
安い,福井,0.4
貸し出し,連,0.4
フロント,男性,3.200000000000001
ビックリ,非常,0.4
値段,親切,2.5999999999999996
タイプ,自体,0.4
シャトルバス,重宝,1
ディズニー,十分,2
お願い,食べ放題,0.4
室内,駐車場,0.4
不可,接続,0.4
荷物,鹿児島,0.4
空,補充,1
旅,皆様,0.4
丁寧,朝食,1.4
仕事,風呂,2.2
ベッド,眺望,1
心配,設置,0.4
トング,バイキング,3
朝食,細かい,1
窓,親切,0.4
コンビニ,コース,1
公園,近い,1
不便,快適,1.2
スタッフ,朝食,7.000000000000002
新館,連絡,1.4
用事,荷物,2
よい,大丈夫,0.4
トイレ,狭い,5
おまけ,手,1
そのもの,十分,0.4
仕事,快い,1
ランク,眺め,0.4
スタッフ,駅,1
チェックイン,都内,1
処,正解,0.4
焼き,窮屈,0.4
隣,電話,1
対応,魅力,1
居酒屋,感謝,0.4
ほしい,ルーム,0.4
コスト,価格,0.4
大変,失礼,1
楽,注意,1
内容,空気清浄機,0.4
総合,風呂,0.4
悪い,提供,6.6
失礼,確認,0.8
回答,大変,0.4
木,邪魔,1
ロフト,金額,0.4
カード,夕食,0.4
負担,風呂,1
コストパフォーマンス,丁寧,0.4
すごい,暗い,0.4
優しい,種類,0.4
日本橋,確認,0.4
前回,欲しい,0.4
質,風呂,1
到着,車,1
グループ,入浴,1.4
心地よい,朝風呂,1
人,自分たち,1.4
内容,古い,0.4
床,非常,0.4
旅館,本,0.4
マット,最適,1
ごはん,個人的,0.4
綺麗,露天風呂,1.4
多い,席,1
インターネット接続,フロント,0.4
建物,立地,2.4000000000000004
すばらしい,大変,4.4
キレイ,美味しい,1.4
ネット,苦手,0.4
建物,浴衣,0.8
価格,申し分,0.4
お客様,清潔,0.4
コンビニ,私たち,1
ない,何度も,0.8
熱い,熱い,1
宿,最高,1.4
スタッフ,総合,1
無料,設備,3.8
待遇,程度,1.4
徒歩,満足,1.4
アパホテル,便利,0.4
値段,窓,1
ベット,快適,4
よい,ドライヤー,2.2
感心,朝食,2
